Ar	NotflNr	NotFlHeiti	TegundNr	TegundHeiti	EldsnTegNr	EldsnTegHeiti	Notkun	Frumorka
1982	0513 	Gasolía tekin erlendis, innlend fiskiskip	03	Fiskiskip	05	Dísilolía	13400	580622
1982	0613 	Svartolía tekin erlendis, innlend fiskiskip	03	Fiskiskip	08	Svartolía	2000	80380
1982	0120 	Bensín, blý	01	Bifreiðar og tæki	02	Bensín	26328	1179494,4
1982	0290 	Flugvélabensín, sala alls	02	Flugvélar	01	Flugvélabensín	519	23251,2
1982	0330 	Þotueldsneyti, erlendir aðilar	02	Flugvélar	04	Þotueldsneyti	1852	82580,68
1982	0410 	Steinolía	02	Flugvélar	03	Steinolía og þotueldsneyti	498	22205,82
1982	0511 	Gasolía tekin hér á landi, innlend fiskiskip	03	Fiskiskip	05	Dísilolía	24591	1065528,03
1982	0521 	Gasolía tekin hér á landi, önnur innlend skip, innlend notkun	04	Önnur skip	05	Dísilolía	5379	233072,07
1982	0531 	Gasolía, bifreiðar og tæki, frá söludælu	01	Bifreiðar og tæki	05	Dísilolía	7900	342307
1982	0533 	Gasolía, tæki (frá bíl)	01	Bifreiðar og tæki	05	Dísilolía	6632	287364,56
1982	0540 	Gasolía, húshitun og sundlaugar	07	Húshitun og sundlaugar	05	Dísilolía	9354	405308,82
1982	0550 	Gasolía, iðnaður	05	Iðnaður	05	Dísilolía	775	33580,75
1982	0560 	Gasolía, orkuvinnsla	08	Orkuvinnsla	05	Dísilolía	700	30331
1982	0611 	Svartolía tekin hér á landi, innlend fiskiskip	03	Fiskiskip	08	Svartolía	20966	842623,54
1982	0621 	Svartolía, önnur innlend skip, innlend notkun	04	Önnur skip	08	Svartolía	548	22024,12
1982	0640 	Svartolía, húshitun og sundlaugar	07	Húshitun og sundlaugar	08	Svartolía	1767	71015,73
1982	0650 	Svartolía, iðnaður	05	Iðnaður	08	Svartolía	16434	660482,46
1982	0120 	Bensín, blý	01	Bifreiðar og tæki	02	Bensín	31909	1429523,2
1982	0290 	Flugvélabensín, sala alls	02	Flugvélar	01	Flugvélabensín	876	39244,8
1982	0310 	Þotueldsneyti tekið hér á landi, innlend notkun	02	Flugvélar	04	Þotueldsneyti	6349	283101,91
1982	0321 	Þotueldsneyti tekið hér á landi, millilandanotkun	02	Flugvélar	04	Þotueldsneyti	10310	459722,9
1982	0330 	Þotueldsneyti, erlendir aðilar	02	Flugvélar	04	Þotueldsneyti	9484	422891,56
1982	0410 	Steinolía	02	Flugvélar	03	Steinolía og þotueldsneyti	353	15740,27
1982	0511 	Gasolía tekin hér á landi, innlend fiskiskip	03	Fiskiskip	05	Dísilolía	26807	1161547,31
1982	0521 	Gasolía tekin hér á landi, önnur innlend skip, innlend notkun	04	Önnur skip	05	Dísilolía	5341	231425,53
1982	0531 	Gasolía, bifreiðar og tæki, frá söludælu	01	Bifreiðar og tæki	05	Dísilolía	10491	454575,03
1982	0533 	Gasolía, tæki (frá bíl)	01	Bifreiðar og tæki	05	Dísilolía	3195	138439,35
1982	0540 	Gasolía, húshitun og sundlaugar	07	Húshitun og sundlaugar	05	Dísilolía	5386	233375,38
1982	0550 	Gasolía, iðnaður	05	Iðnaður	05	Dísilolía	800	34664
1982	0560 	Gasolía, orkuvinnsla	08	Orkuvinnsla	05	Dísilolía	700	30331
1982	0611 	Svartolía tekin hér á landi, innlend fiskiskip	03	Fiskiskip	08	Svartolía	20578	827029,82
1982	0621 	Svartolía, önnur innlend skip, innlend notkun	04	Önnur skip	08	Svartolía	2563	103006,97
1982	0640 	Svartolía, húshitun og sundlaugar	07	Húshitun og sundlaugar	08	Svartolía	2795	112331,05
1982	0650 	Svartolía, iðnaður	05	Iðnaður	08	Svartolía	12125	487303,75
1982	0523 	Gasolía tekin erlendis, önnur innlend skip, millilandanotkun	04	Önnur skip	05	Dísilolía	6000	259980
1982	0623 	Svartolía tekin erlendis, önnur innlend skip, millilandanotkun	04	Önnur skip	08	Svartolía	26000	1044940
1983	0523 	Gasolía tekin erlendis, önnur innlend skip, millilandanotkun	04	Önnur skip	05	Dísilolía	11600	502628
1983	0623 	Svartolía tekin erlendis, önnur innlend skip, millilandanotkun	04	Önnur skip	08	Svartolía	27200	1093168
1983	0120 	Bensín, blý	01	Bifreiðar og tæki	02	Bensín	36206	1622028,8
1983	0210 	Flugvélabensín tekið hér á landi, innlend notkun	02	Flugvélar	01	Flugvélabensín	16	716,8
1983	0230 	Flugvélabensín, erlendir aðilar	02	Flugvélar	01	Flugvélabensín	95	4256
1983	0310 	Þotueldsneyti tekið hér á landi, innlend notkun	02	Flugvélar	04	Þotueldsneyti	426	18995,34
1983	0321 	Þotueldsneyti tekið hér á landi, millilandanotkun	02	Flugvélar	04	Þotueldsneyti	1764	78656,76
1983	0330 	Þotueldsneyti, erlendir aðilar	02	Flugvélar	04	Þotueldsneyti	6708	299109,72
1983	0410 	Steinolía	02	Flugvélar	03	Steinolía og þotueldsneyti	400	17836
1983	0511 	Gasolía tekin hér á landi, innlend fiskiskip	03	Fiskiskip	05	Dísilolía	46463	2013241,79
1983	0521 	Gasolía tekin hér á landi, önnur innlend skip, innlend notkun	04	Önnur skip	05	Dísilolía	2636	114217,88
1983	0531 	Gasolía, bifreiðar og tæki, frá söludælu	01	Bifreiðar og tæki	05	Dísilolía	11236	486855,88
1983	0533 	Gasolía, tæki (frá bíl)	01	Bifreiðar og tæki	05	Dísilolía	23348	1011668,84
1983	0540 	Gasolía, húshitun og sundlaugar	07	Húshitun og sundlaugar	05	Dísilolía	10062	435986,46
1983	0550 	Gasolía, iðnaður	05	Iðnaður	05	Dísilolía	1200	51996
1983	0560 	Gasolía, orkuvinnsla	08	Orkuvinnsla	05	Dísilolía	600	25998
1983	0611 	Svartolía tekin hér á landi, innlend fiskiskip	03	Fiskiskip	08	Svartolía	33284	1337683,96
1983	0621 	Svartolía, önnur innlend skip, innlend notkun	04	Önnur skip	08	Svartolía	176	7073,44
1983	0640 	Svartolía, húshitun og sundlaugar	07	Húshitun og sundlaugar	08	Svartolía	1234	49594,46
1983	0650 	Svartolía, iðnaður	05	Iðnaður	08	Svartolía	28708	1153774,52
1983	0321 	Þotueldsneyti tekið hér á landi, millilandanotkun	02	Flugvélar	04	Þotueldsneyti	17981	801772,79
1983	0322 	Þotueldsneyti tekið erlendis, millilandanotkun	02	Flugvélar	04	Þotueldsneyti	52497	2340841,23
1983	0513 	Gasolía tekin erlendis, innlend fiskiskip	03	Fiskiskip	05	Dísilolía	10600	459298
1983	0613 	Svartolía tekin erlendis, innlend fiskiskip	03	Fiskiskip	08	Svartolía	4000	160760
1983	0120 	Bensín, blý	01	Bifreiðar og tæki	02	Bensín	26091	1168876,8
1983	0210 	Flugvélabensín tekið hér á landi, innlend notkun	02	Flugvélar	01	Flugvélabensín	492	22041,6
1983	0330 	Þotueldsneyti, erlendir aðilar	02	Flugvélar	04	Þotueldsneyti	4680	208681,2
1983	0410 	Steinolía	02	Flugvélar	03	Steinolía og þotueldsneyti	333	14848,47
1983	0511 	Gasolía tekin hér á landi, innlend fiskiskip	03	Fiskiskip	05	Dísilolía	24876	1077877,08
1983	0521 	Gasolía tekin hér á landi, önnur innlend skip, innlend notkun	04	Önnur skip	05	Dísilolía	5114	221589,62
1983	0531 	Gasolía, bifreiðar og tæki, frá söludælu	01	Bifreiðar og tæki	05	Dísilolía	8000	346640
1983	0533 	Gasolía, tæki (frá bíl)	01	Bifreiðar og tæki	05	Dísilolía	7712	334160,96
1983	0540 	Gasolía, húshitun og sundlaugar	07	Húshitun og sundlaugar	05	Dísilolía	7442	322461,86
1983	0550 	Gasolía, iðnaður	05	Iðnaður	05	Dísilolía	342	14818,86
1983	0560 	Gasolía, orkuvinnsla	08	Orkuvinnsla	05	Dísilolía	500	21665
1983	0611 	Svartolía tekin hér á landi, innlend fiskiskip	03	Fiskiskip	08	Svartolía	23621	949327,99
1983	0621 	Svartolía, önnur innlend skip, innlend notkun	04	Önnur skip	08	Svartolía	371	14910,49
1983	0640 	Svartolía, húshitun og sundlaugar	07	Húshitun og sundlaugar	08	Svartolía	1615	64906,85
1983	0650 	Svartolía, iðnaður	05	Iðnaður	08	Svartolía	13537	544052,03
1983	0660 	Svartolía, orkuvinnsla	08	Orkuvinnsla	08	Svartolía	1227	49313,13
1983	0120 	Bensín, blý	01	Bifreiðar og tæki	02	Bensín	30716	1376076,8
1983	0210 	Flugvélabensín tekið hér á landi, innlend notkun	02	Flugvélar	01	Flugvélabensín	562	25177,6
1983	0230 	Flugvélabensín, erlendir aðilar	02	Flugvélar	01	Flugvélabensín	91	4076,8
1983	0310 	Þotueldsneyti tekið hér á landi, innlend notkun	02	Flugvélar	04	Þotueldsneyti	5854	261029,86
1983	0321 	Þotueldsneyti tekið hér á landi, millilandanotkun	02	Flugvélar	04	Þotueldsneyti	8439	376295,01
1983	0330 	Þotueldsneyti, erlendir aðilar	02	Flugvélar	04	Þotueldsneyti	4645	207120,55
1983	0410 	Steinolía	02	Flugvélar	03	Steinolía og þotueldsneyti	235	10478,65
1983	0511 	Gasolía tekin hér á landi, innlend fiskiskip	03	Fiskiskip	05	Dísilolía	29062	1259256,46
1983	0521 	Gasolía tekin hér á landi, önnur innlend skip, innlend notkun	04	Önnur skip	05	Dísilolía	4904	212490,32
1983	0524 	Gasolía, önnur erlend skip	04	Önnur skip	05	Dísilolía	1000	43330
1983	0531 	Gasolía, bifreiðar og tæki, frá söludælu	01	Bifreiðar og tæki	05	Dísilolía	10544	456871,52
1983	0533 	Gasolía, tæki (frá bíl)	01	Bifreiðar og tæki	05	Dísilolía	2914	126263,62
1983	0540 	Gasolía, húshitun og sundlaugar	07	Húshitun og sundlaugar	05	Dísilolía	4405	190868,65
1983	0550 	Gasolía, iðnaður	05	Iðnaður	05	Dísilolía	900	38997
1983	0560 	Gasolía, orkuvinnsla	08	Orkuvinnsla	05	Dísilolía	500	21665
1983	0611 	Svartolía tekin hér á landi, innlend fiskiskip	03	Fiskiskip	08	Svartolía	20581	827150,39
1983	0621 	Svartolía, önnur innlend skip, innlend notkun	04	Önnur skip	08	Svartolía	2766	111165,54
1983	0640 	Svartolía, húshitun og sundlaugar	07	Húshitun og sundlaugar	08	Svartolía	2223	89342,37
1983	0650 	Svartolía, iðnaður	05	Iðnaður	08	Svartolía	11970	481074,3
1983	0523 	Gasolía tekin erlendis, önnur innlend skip, millilandanotkun	04	Önnur skip	05	Dísilolía	6000	259980
1983	0623 	Svartolía tekin erlendis, önnur innlend skip, millilandanotkun	04	Önnur skip	08	Svartolía	26000	1044940
1984	0523 	Gasolía tekin erlendis, önnur innlend skip, millilandanotkun	04	Önnur skip	05	Dísilolía	11400	493962
1984	0623 	Svartolía tekin erlendis, önnur innlend skip, millilandanotkun	04	Önnur skip	08	Svartolía	27600	1109244
1984	0120 	Bensín, blý	01	Bifreiðar og tæki	02	Bensín	36332	1627673,6
1984	0210 	Flugvélabensín tekið hér á landi, innlend notkun	02	Flugvélar	01	Flugvélabensín	9	403,2
1984	0230 	Flugvélabensín, erlendir aðilar	02	Flugvélar	01	Flugvélabensín	7	313,6
1984	0310 	Þotueldsneyti tekið hér á landi, innlend notkun	02	Flugvélar	04	Þotueldsneyti	241	10746,19
1984	0321 	Þotueldsneyti tekið hér á landi, millilandanotkun	02	Flugvélar	04	Þotueldsneyti	1880	83829,2
1984	0330 	Þotueldsneyti, erlendir aðilar	02	Flugvélar	04	Þotueldsneyti	9818	437784,62
1984	0410 	Steinolía	02	Flugvélar	03	Steinolía og þotueldsneyti	375	16721,25
1984	0511 	Gasolía tekin hér á landi, innlend fiskiskip	03	Fiskiskip	05	Dísilolía	51972	2251946,76
1984	0521 	Gasolía tekin hér á landi, önnur innlend skip, innlend notkun	04	Önnur skip	05	Dísilolía	2573	111488,09
1984	0524 	Gasolía, önnur erlend skip	04	Önnur skip	05	Dísilolía	4514	195591,62
1984	0531 	Gasolía, bifreiðar og tæki, frá söludælu	01	Bifreiðar og tæki	05	Dísilolía	11524	499334,92
1984	0532 	Gasolía, bifreiðar og tæki, frá einkadælu	01	Bifreiðar og tæki	05	Dísilolía	2655	115041,15
1984	0533 	Gasolía, tæki (frá bíl)	01	Bifreiðar og tæki	05	Dísilolía	19815	858583,95
1984	0540 	Gasolía, húshitun og sundlaugar	07	Húshitun og sundlaugar	05	Dísilolía	7840	339707,2
1984	0550 	Gasolía, iðnaður	05	Iðnaður	05	Dísilolía	1316	57022,28
1984	0560 	Gasolía, orkuvinnsla	08	Orkuvinnsla	05	Dísilolía	300	12999
1984	0611 	Svartolía tekin hér á landi, innlend fiskiskip	03	Fiskiskip	08	Svartolía	29357	1179857,83
1984	0621 	Svartolía, önnur innlend skip, innlend notkun	04	Önnur skip	08	Svartolía	3637	146171,03
1984	0624 	Svartolía, önnur erlend skip	04	Önnur skip	08	Svartolía	100	4019
1984	0640 	Svartolía, húshitun og sundlaugar	07	Húshitun og sundlaugar	08	Svartolía	1253	50358,07
1984	0650 	Svartolía, iðnaður	05	Iðnaður	08	Svartolía	24029	965725,51
1984	0690 	Svartolía, annað	99	Annað	08	Svartolía	220	8841,8
1984	0321 	Þotueldsneyti tekið hér á landi, millilandanotkun	02	Flugvélar	04	Þotueldsneyti	30438	1357230,42
1984	0322 	Þotueldsneyti tekið erlendis, millilandanotkun	02	Flugvélar	04	Þotueldsneyti	79485	3544236,15
1984	0513 	Gasolía tekin erlendis, innlend fiskiskip	03	Fiskiskip	05	Dísilolía	16100	697613
1984	0613 	Svartolía tekin erlendis, innlend fiskiskip	03	Fiskiskip	08	Svartolía	5000	200950
1984	0120 	Bensín, blý	01	Bifreiðar og tæki	02	Bensín	27394	1227251,2
1984	0210 	Flugvélabensín tekið hér á landi, innlend notkun	02	Flugvélar	01	Flugvélabensín	629	28179,2
1984	0230 	Flugvélabensín, erlendir aðilar	02	Flugvélar	01	Flugvélabensín	8	358,4
1984	0330 	Þotueldsneyti, erlendir aðilar	02	Flugvélar	04	Þotueldsneyti	80	3567,2
1984	0410 	Steinolía	02	Flugvélar	03	Steinolía og þotueldsneyti	251	11192,09
1984	0511 	Gasolía tekin hér á landi, innlend fiskiskip	03	Fiskiskip	05	Dísilolía	28049	1215363,17
1984	0521 	Gasolía tekin hér á landi, önnur innlend skip, innlend notkun	04	Önnur skip	05	Dísilolía	4994	216390,02
1984	0531 	Gasolía, bifreiðar og tæki, frá söludælu	01	Bifreiðar og tæki	05	Dísilolía	8100	350973
1984	0533 	Gasolía, tæki (frá bíl)	01	Bifreiðar og tæki	05	Dísilolía	10162	440319,46
1984	0540 	Gasolía, húshitun og sundlaugar	07	Húshitun og sundlaugar	05	Dísilolía	5107	221286,31
1984	0550 	Gasolía, iðnaður	05	Iðnaður	05	Dísilolía	800	34664
1984	0560 	Gasolía, orkuvinnsla	08	Orkuvinnsla	05	Dísilolía	200	8666
1984	0611 	Svartolía tekin hér á landi, innlend fiskiskip	03	Fiskiskip	08	Svartolía	15689	630540,91
1984	0621 	Svartolía, önnur innlend skip, innlend notkun	04	Önnur skip	08	Svartolía	181	7274,39
1984	0640 	Svartolía, húshitun og sundlaugar	07	Húshitun og sundlaugar	08	Svartolía	1699	68282,81
1984	0650 	Svartolía, iðnaður	05	Iðnaður	08	Svartolía	21935	881567,65
1984	0660 	Svartolía, orkuvinnsla	08	Orkuvinnsla	08	Svartolía	1266	50880,54
1984	0120 	Bensín, blý	01	Bifreiðar og tæki	02	Bensín	31471	1409900,8
1984	0210 	Flugvélabensín tekið hér á landi, innlend notkun	02	Flugvélar	01	Flugvélabensín	606	27148,8
1984	0230 	Flugvélabensín, erlendir aðilar	02	Flugvélar	01	Flugvélabensín	111	4972,8
1984	0310 	Þotueldsneyti tekið hér á landi, innlend notkun	02	Flugvélar	04	Þotueldsneyti	5753	256526,27
1984	0321 	Þotueldsneyti tekið hér á landi, millilandanotkun	02	Flugvélar	04	Þotueldsneyti	9683	431764,97
1984	0330 	Þotueldsneyti, erlendir aðilar	02	Flugvélar	04	Þotueldsneyti	5165	230307,35
1984	0410 	Steinolía	02	Flugvélar	03	Steinolía og þotueldsneyti	185	8249,15
1984	0511 	Gasolía tekin hér á landi, innlend fiskiskip	03	Fiskiskip	05	Dísilolía	31000	1343230
1984	0521 	Gasolía tekin hér á landi, önnur innlend skip, innlend notkun	04	Önnur skip	05	Dísilolía	4150	179819,5
1984	0531 	Gasolía, bifreiðar og tæki, frá söludælu	01	Bifreiðar og tæki	05	Dísilolía	10340	448032,2
1984	0533 	Gasolía, tæki (frá bíl)	01	Bifreiðar og tæki	05	Dísilolía	4025	174403,25
1984	0540 	Gasolía, húshitun og sundlaugar	07	Húshitun og sundlaugar	05	Dísilolía	3500	151655
1984	0550 	Gasolía, iðnaður	05	Iðnaður	05	Dísilolía	1000	43330
1984	0560 	Gasolía, orkuvinnsla	08	Orkuvinnsla	05	Dísilolía	200	8666
1984	0611 	Svartolía tekin hér á landi, innlend fiskiskip	03	Fiskiskip	08	Svartolía	13750	552612,5
1984	0621 	Svartolía, önnur innlend skip, innlend notkun	04	Önnur skip	08	Svartolía	1372	55140,68
1984	0640 	Svartolía, húshitun og sundlaugar	07	Húshitun og sundlaugar	08	Svartolía	1432	57552,08
1984	0650 	Svartolía, iðnaður	05	Iðnaður	08	Svartolía	21462	862557,78
1984	0523 	Gasolía tekin erlendis, önnur innlend skip, millilandanotkun	04	Önnur skip	05	Dísilolía	6000	259980
1984	0623 	Svartolía tekin erlendis, önnur innlend skip, millilandanotkun	04	Önnur skip	08	Svartolía	26000	1044940
1985	0523 	Gasolía tekin erlendis, önnur innlend skip, millilandanotkun	04	Önnur skip	05	Dísilolía	11100	480963
1985	0623 	Svartolía tekin erlendis, önnur innlend skip, millilandanotkun	04	Önnur skip	08	Svartolía	24800	996712
1985	0120 	Bensín, blý	01	Bifreiðar og tæki	02	Bensín	37955	1700384
1985	0210 	Flugvélabensín tekið hér á landi, innlend notkun	02	Flugvélar	01	Flugvélabensín	18	806,4
1985	0230 	Flugvélabensín, erlendir aðilar	02	Flugvélar	01	Flugvélabensín	4	179,2
1985	0310 	Þotueldsneyti tekið hér á landi, innlend notkun	02	Flugvélar	04	Þotueldsneyti	359	16007,81
1985	0321 	Þotueldsneyti tekið hér á landi, millilandanotkun	02	Flugvélar	04	Þotueldsneyti	2030	90517,7
1985	0330 	Þotueldsneyti, erlendir aðilar	02	Flugvélar	04	Þotueldsneyti	14308	637993,72
1985	0410 	Steinolía	02	Flugvélar	03	Steinolía og þotueldsneyti	377	16810,43
1985	0511 	Gasolía tekin hér á landi, innlend fiskiskip	03	Fiskiskip	05	Dísilolía	63841	2766230,53
1985	0521 	Gasolía tekin hér á landi, önnur innlend skip, innlend notkun	04	Önnur skip	05	Dísilolía	4165	180469,45
1985	0524 	Gasolía, önnur erlend skip	04	Önnur skip	05	Dísilolía	3919	169810,27
1985	0531 	Gasolía, bifreiðar og tæki, frá söludælu	01	Bifreiðar og tæki	05	Dísilolía	12085	523643,05
1985	0532 	Gasolía, bifreiðar og tæki, frá einkadælu	01	Bifreiðar og tæki	05	Dísilolía	2777	120327,41
1985	0533 	Gasolía, tæki (frá bíl)	01	Bifreiðar og tæki	05	Dísilolía	17917	776343,61
1985	0540 	Gasolía, húshitun og sundlaugar	07	Húshitun og sundlaugar	05	Dísilolía	7160	310242,8
1985	0550 	Gasolía, iðnaður	05	Iðnaður	05	Dísilolía	1603	69457,99
1985	0560 	Gasolía, orkuvinnsla	08	Orkuvinnsla	05	Dísilolía	300	12999
1985	0611 	Svartolía tekin hér á landi, innlend fiskiskip	03	Fiskiskip	08	Svartolía	5795	232901,05
1985	0621 	Svartolía, önnur innlend skip, innlend notkun	04	Önnur skip	08	Svartolía	3779	151878,01
1985	0624 	Svartolía, önnur erlend skip	04	Önnur skip	08	Svartolía	260	10449,4
1985	0640 	Svartolía, húshitun og sundlaugar	07	Húshitun og sundlaugar	08	Svartolía	1506	60526,14
1985	0650 	Svartolía, iðnaður	05	Iðnaður	08	Svartolía	21017	844673,23
1985	0690 	Svartolía, annað	99	Annað	08	Svartolía	59	2371,21
1985	0321 	Þotueldsneyti tekið hér á landi, millilandanotkun	02	Flugvélar	04	Þotueldsneyti	30119	1343006,21
1985	0322 	Þotueldsneyti tekið erlendis, millilandanotkun	02	Flugvélar	04	Þotueldsneyti	82528	3679923,52
1985	0513 	Gasolía tekin erlendis, innlend fiskiskip	03	Fiskiskip	05	Dísilolía	21800	944594
1985	0613 	Svartolía tekin erlendis, innlend fiskiskip	03	Fiskiskip	08	Svartolía	3000	120570
1985	0120 	Bensín, blý	01	Bifreiðar og tæki	02	Bensín	28500	1276800
1985	0210 	Flugvélabensín tekið hér á landi, innlend notkun	02	Flugvélar	01	Flugvélabensín	723	32390,4
1985	0230 	Flugvélabensín, erlendir aðilar	02	Flugvélar	01	Flugvélabensín	56	2508,8
1985	0330 	Þotueldsneyti, erlendir aðilar	02	Flugvélar	04	Þotueldsneyti	791	35270,69
1985	0410 	Steinolía	02	Flugvélar	03	Steinolía og þotueldsneyti	253	11281,27
1985	0511 	Gasolía tekin hér á landi, innlend fiskiskip	03	Fiskiskip	05	Dísilolía	34223	1482882,59
1985	0521 	Gasolía tekin hér á landi, önnur innlend skip, innlend notkun	04	Önnur skip	05	Dísilolía	4704	203824,32
1985	0531 	Gasolía, bifreiðar og tæki, frá söludælu	01	Bifreiðar og tæki	05	Dísilolía	8115	351622,95
1985	0533 	Gasolía, tæki (frá bíl)	01	Bifreiðar og tæki	05	Dísilolía	9961	431610,13
1985	0540 	Gasolía, húshitun og sundlaugar	07	Húshitun og sundlaugar	05	Dísilolía	4302	186405,66
1985	0550 	Gasolía, iðnaður	05	Iðnaður	05	Dísilolía	1000	43330
1985	0560 	Gasolía, orkuvinnsla	08	Orkuvinnsla	05	Dísilolía	200	8666
1985	0611 	Svartolía tekin hér á landi, innlend fiskiskip	03	Fiskiskip	08	Svartolía	4698	188812,62
1985	0621 	Svartolía, önnur innlend skip, innlend notkun	04	Önnur skip	08	Svartolía	396	15915,24
1985	0640 	Svartolía, húshitun og sundlaugar	07	Húshitun og sundlaugar	08	Svartolía	1761	70774,59
1985	0650 	Svartolía, iðnaður	05	Iðnaður	08	Svartolía	20772	834826,68
1985	0120 	Bensín, blý	01	Bifreiðar og tæki	02	Bensín	32284	1446323,2
1985	0210 	Flugvélabensín tekið hér á landi, innlend notkun	02	Flugvélar	01	Flugvélabensín	763	34182,4
1985	0230 	Flugvélabensín, erlendir aðilar	02	Flugvélar	01	Flugvélabensín	92	4121,6
1985	0310 	Þotueldsneyti tekið hér á landi, innlend notkun	02	Flugvélar	04	Þotueldsneyti	6443	287293,37
1985	0321 	Þotueldsneyti tekið hér á landi, millilandanotkun	02	Flugvélar	04	Þotueldsneyti	11425	509440,75
1985	0330 	Þotueldsneyti, erlendir aðilar	02	Flugvélar	04	Þotueldsneyti	7838	349496,42
1985	0410 	Steinolía	02	Flugvélar	03	Steinolía og þotueldsneyti	184	8204,56
1985	0511 	Gasolía tekin hér á landi, innlend fiskiskip	03	Fiskiskip	05	Dísilolía	39194	1698276,02
1985	0521 	Gasolía tekin hér á landi, önnur innlend skip, innlend notkun	04	Önnur skip	05	Dísilolía	4887	211753,71
1985	0524 	Gasolía, önnur erlend skip	04	Önnur skip	05	Dísilolía	1000	43330
1985	0531 	Gasolía, bifreiðar og tæki, frá söludælu	01	Bifreiðar og tæki	05	Dísilolía	11364	492402,12
1985	0533 	Gasolía, tæki (frá bíl)	01	Bifreiðar og tæki	05	Dísilolía	3325	144072,25
1985	0540 	Gasolía, húshitun og sundlaugar	07	Húshitun og sundlaugar	05	Dísilolía	3215	139305,95
1985	0550 	Gasolía, iðnaður	05	Iðnaður	05	Dísilolía	1200	51996
1985	0560 	Gasolía, orkuvinnsla	08	Orkuvinnsla	05	Dísilolía	200	8666
1985	0611 	Svartolía tekin hér á landi, innlend fiskiskip	03	Fiskiskip	08	Svartolía	4120	165582,8
1985	0621 	Svartolía, önnur innlend skip, innlend notkun	04	Önnur skip	08	Svartolía	513	20617,47
1985	0640 	Svartolía, húshitun og sundlaugar	07	Húshitun og sundlaugar	08	Svartolía	1718	69046,42
1985	0650 	Svartolía, iðnaður	05	Iðnaður	08	Svartolía	22811	916774,09
1985	0523 	Gasolía tekin erlendis, önnur innlend skip, millilandanotkun	04	Önnur skip	05	Dísilolía	6000	259980
1985	0623 	Svartolía tekin erlendis, önnur innlend skip, millilandanotkun	04	Önnur skip	08	Svartolía	26000	1044940
1986	0523 	Gasolía tekin erlendis, önnur innlend skip, millilandanotkun	04	Önnur skip	05	Dísilolía	9500	411635
1986	0623 	Svartolía tekin erlendis, önnur innlend skip, millilandanotkun	04	Önnur skip	08	Svartolía	31200	1253928
1986	0110 	Bensín, blýlaust	01	Bifreiðar og tæki	02	Bensín	16878	756134,4
1986	0120 	Bensín, blý	01	Bifreiðar og tæki	02	Bensín	23805	1066464
1986	0210 	Flugvélabensín tekið hér á landi, innlend notkun	02	Flugvélar	01	Flugvélabensín	5	224
1986	0310 	Þotueldsneyti tekið hér á landi, innlend notkun	02	Flugvélar	04	Þotueldsneyti	443	19753,37
1986	0321 	Þotueldsneyti tekið hér á landi, millilandanotkun	02	Flugvélar	04	Þotueldsneyti	2508	111831,72
